type,cost,country,carrier,units,2030,2040,2050
generators,fuel,EU,coal,Euro,4663003547.74047,1300591.159173927,7909214.743411223
generators,fuel,EU,lignite,Euro,3875017424.545137,50359919.44822709,7245815.292565149
generators,fuel,EU,oil,Euro,229902743263.94855,146073234444.22134,71928875037.33931
generators,fuel,EU,uranium,Euro,3217852444.546177,1899759683.0665832,1100274527.216282
generators,fuel,FI,gas,Euro,2808251519.5446305,2938670603.1410384,1226431559.231736
generators,fuel,FR,gas,Euro,7092663401.535293,6796024940.673339,2515249814.2758756
generators,fuel,GB,gas,Euro,24392272884.068348,17001335477.47271,3467970486.6760044
generators,fuel,GR,gas,Euro,3342385032.6992965,3711189594.562417,687141993.9156735
generators,fuel,HU,gas,Euro,2626352856.4423904,1821293643.221279,486878014.4565522
generators,fuel,IE,gas,Euro,2173912420.558222,3225138072.4197216,225269019.0727362
generators,fuel,IT,gas,Euro,19038999696.69669,16758463618.899315,4539671581.047876
generators,fuel,LT,gas,Euro,359679422.91646016,249921758.382428,2608.40308502483
generators,fuel,LV,gas,Euro,292127319.7171445,191020757.65275377,2618.425596952139
generators,fuel,NL,gas,Euro,13021098621.93563,10833407956.06319,3275262962.9682603
generators,fuel,NO,gas,Euro,16789344638.145144,14480781012.777325,5356821028.905851
generators,fuel,PL,gas,Euro,5206722931.604079,5227493116.988688,2562148725.458209
generators,fuel,PT,gas,Euro,1807356748.9404671,1717271768.3872893,80305634.78641175
generators,fuel,RO,gas,Euro,1929043208.9027689,848156421.5902112,377470879.9245754
generators,fuel,SE,gas,Euro,445197937.6305955,404518716.3989827,226757322.100116
generators,fuel,SK,gas,Euro,6465784625.322381,5863502053.308322,3033858318.2214947
generators,marginal,AL,solar,Euro,29097.826917469807,61527.32370009395,202823.84539289057
generators,marginal,AL,solar rooftop,Euro,35312.252801914125,70258.91613160509,103676.26862025578
generators,marginal,AT,onwind,Euro,39403.963843323225,5341.000565766441,0.03052851063289974
generators,marginal,AT,solar,Euro,37210.81127987246,245494.12469118793,348669.4126945286
generators,marginal,AT,solar rooftop,Euro,90944.722858173,181634.9210833177,269693.3892673042
generators,marginal,BA,solar,Euro,1159.009854104061,1113.4134571153415,1055.3623796280149
generators,marginal,BA,solar rooftop,Euro,44731.56002660604,88442.76358767471,131371.9593204201
generators,marginal,BE,offwind,Euro,124171.1211333767,0.0,0.0
generators,marginal,BE,offwind-ac,Euro,0.395222874761145,111000.12596194488,111425.5423613797
generators,marginal,BE,offwind-dc,Euro,236376.02276926837,234184.24346764825,231763.13570843436
generators,marginal,BE,onwind,Euro,203037.79315165884,181262.64604677682,452046.2833734873
generators,marginal,BE,solar,Euro,66348.04129197661,66345.35722066679,146324.50766193762
generators,marginal,BE,solar rooftop,Euro,108078.84540386016,216152.38182256836,324222.2825481546
generators,marginal,BG,onwind,Euro,10380.796745440455,0.0209253489929418,0.0222572141694058
generators,marginal,BG,solar,Euro,25123.331913768146,95422.69908041705,331253.62470586563
generators,marginal,BG,solar rooftop,Euro,94248.13699965103,188243.09741771984,280600.0715693969
generators,marginal,CH,solar,Euro,152415.07763253115,151765.3407635629,148174.5389402145
generators,marginal,CH,solar rooftop,Euro,82445.02402773523,164764.16707706542,245388.8566974842
generators,marginal,CZ,onwind,Euro,7703.930633328842,0.0831213390618992,0.1070243678878212
generators,marginal,CZ,solar,Euro,25671.431408828314,25669.874613949658,25664.683299133016
generators,marginal,CZ,solar rooftop,Euro,100439.69180446524,200873.91531584095,301292.81343619496
generators,marginal,DE,offwind,Euro,419729.7967426314,17126.372764383697,0.0
generators,marginal,DE,offwind-ac,Euro,0.1839942905720006,83097.05542147695,81726.86696858838
generators,marginal,DE,offwind-dc,Euro,0.2480831654554123,1354771.0976594638,2913029.3916972894
generators,marginal,DE,onwind,Euro,3055711.501070222,2110838.051664569,2899729.698650641
generators,marginal,DE,solar,Euro,629199.5823206482,629197.1329370693,609786.47340109
generators,marginal,DE,solar rooftop,Euro,650410.9189601694,1406422.1399343351,2162320.0021323906
generators,marginal,DK,offwind,Euro,122122.4288497484,31837.113694015097,0.0
generators,marginal,DK,onwind,Euro,3337916.2762927534,3075467.144924954,3307251.608662958
generators,marginal,DK,solar,Euro,30567.86573877768,30567.10683229065,46627.83441165562
generators,marginal,DK,solar rooftop,Euro,38488.82996517639,76975.4162423579,115445.65530061515
generators,marginal,EE,onwind,Euro,129526.97987227608,269445.11020963703,709906.8926218661
generators,marginal,EE,solar,Euro,5041.4779070288205,5039.819198943527,9700.598253466838
generators,marginal,EE,solar rooftop,Euro,11071.5187409929,22141.634383807526,33209.455122109866
generators,marginal,ES,onwind,Euro,673288.9847542782,2063133.7919657293,2637223.797878006
generators,marginal,ES,solar,Euro,1761419.4508584822,3098543.3800484673,5267636.252801953
generators,marginal,ES,solar rooftop,Euro,581776.2837883215,1208934.3087143437,1839042.9500693402
generators,marginal,FI,offwind,Euro,3028.184940185078,0.0,0.0
generators,marginal,FI,onwind,Euro,162215.85945131,371178.53302533226,824981.9855346411
