node,carrier,2030,2040,2050,hist,units
AT,residential / services water tanks discharger,3.411078612636382,4.014416814390536,7.812653458745188,0.0,GW_e
AT,residential rural micro gas CHP,1.1518175468822867e-07,4.602695817153072e-08,2.213411978606032e-08,0.0,GW_e
AT,residential rural water tanks,1.8429243381491687,1.8430047138280807,2.4291195504405843,0.0,GW_e
AT,residential urban decentral micro gas CHP,1.1597709787428451e-07,4.621590702026271e-08,2.2129003917715054e-08,0.0,GW_e
AT,residential urban decentral water tanks,2.6180569746157594,2.6182179398002634,3.5530055760576826,0.0,GW_e
AT,ror,4.7975,4.7975,4.7975,4.7975,GW_e
AT,services rural micro gas CHP,1.1541838895106429e-07,4.578292962792461e-08,2.2033328675036166e-08,0.0,GW_e
AT,services rural water tanks,0.8716487487561627,1.040930893583897,1.164774762352686,0.0,GW_e
AT,services urban decentral micro gas CHP,1.1578566445521259e-07,4.5966495181092254e-08,2.212756209577138e-08,0.0,GW_e
AT,services urban decentral water tanks,2.585495174035817,2.5855191241858493,2.585508394888426,0.0,GW_e
AT,solar,12.173090968330836,40.82730167401254,59.84958393882512,3.54242,GW_e
AT,solid biomass,3.7292447501340315e-07,1.6477689046409842e-07,8.278548835675092e-08,0.0,GW_e
AT,solid biomass for industry,3.0456612205004023,3.045661451966341,4.6181137809071514e-06,0.0,GW_e
AT,solid biomass for industry CC,1.808369948639815e-06,1.2227998422972766e-06,3.384064020217959,0.0,GW_e
AT,solid biomass_stores,38094.413677268414,38094.413677268414,38094.413677268414,0.0,GW_e
AT,urban central gas CHP,1.2554705013810292e-06,5.585281529292006e-07,4.554998206775443e-07,0.0,GW_e
AT,urban central gas CHP CC,5.25306432630399e-07,2.3748472421188915e-07,1.23723217700626e-07,0.0,GW_e
AT,urban central solid biomass CHP,0.37354219600417304,0.4680866824972061,0.5742027389428006,0.0,GW_e
AT,urban central solid biomass CHP CC,3.5619307495648305e-07,2.963852663950614e-07,4.212707338263165e-07,0.0,GW_e
AT,urban central water tanks,5.507610150261443,34.255366667780784,321.5699798887574,0.0,GW_e
BA,BEV charger,4.792754230045408,11.502610152108979,16.295364382154386,4.792754230045408,GW_e
BA,BioSNG,1.15055187410058e-06,5.674187101976313e-07,4.552638427098212e-07,0.0,GW_e
BA,CCGT,9.092379558502728e-07,3.5794430560904844e-07,1.5228311049875763e-07,0.0,GW_e
BA,DAC,-1.2510222952248906e-07,-5.113237759076133e-08,-3.6037925281640785e-08,0.0,GW_e
BA,EV batteries,6.53557395006192,15.685377480148606,22.220951430210526,0.0,GW_e
BA,Fischer-Tropsch,7.193138687194317e-07,3.262771880177016e-07,3.5940064886211145e-06,0.0,GW_e
BA,H2 Electrolysis,1.0751378153511974e-06,1.314232063802822e-06,5.502463748575935e-06,0.0,GW_e
BA,H2 Fuel Cell,4.305928587778553e-07,2.2393845068449997e-07,1.5277083482170467e-07,0.0,GW_e
BA,H2 Store,2.468802325620622,4.388822722032396,4.426689390702897,0.0,"GWh_lhv,h2"
BA,Haber-Bosch,2.425194842349157e-05,3.762535768815352e-06,2.951509589893212e-06,0.0,"GW_lhv,nh3"
