carrier,component,node,item,2030,2040,2050,units,sector
AC,generators,RS,ror,6.742456888388116,6.742382843244883,6.742285852623835,TWh,Hydroelectricity
AC,generators,RS,solar,2.0768352574652882e-05,1.9135898471870836e-05,7.62599399522751,TWh,Solar
AC,generators,SE,offwind,0.5991813252609905,,,TWh,Offwind
AC,generators,SE,offwind-ac,1.1731795284717921e-05,8.874943287510117e-06,7.474582552079899e-06,TWh,Offwind
AC,generators,SE,offwind-dc,1.9380082114923823e-05,1.9877861414834415e-05,1.8875448716211724e-05,TWh,Offwind
AC,generators,SE,onwind,25.79320985802199,25.597133608251184,27.345781687566696,TWh,Onwind
AC,generators,SE,ror,7.907509583568653,7.907463649806032,7.907412628507212,TWh,Hydroelectricity
AC,generators,SE,solar,2.352402168985331,24.65846477974751,24.658115413567334,TWh,Solar
AC,generators,SI,offwind-ac,1.1823762715492161e-07,6.414376159933397e-08,7.832349667586743e-08,TWh,Offwind
AC,generators,SI,onwind,2.260308425287568e-07,1.54885774789721e-07,1.4028656505675738e-07,TWh,Onwind
AC,generators,SI,ror,3.885905603656881,3.8710276102845382,3.8631245097597753,TWh,Hydroelectricity
AC,generators,SI,solar,0.6935297774611736,0.6836461162840441,0.6389315654466342,TWh,Solar
AC,generators,SK,onwind,1.141508311579431e-06,9.954177908563545e-07,1.043320277755253e-06,TWh,Onwind
AC,generators,SK,ror,3.6766939004877375,3.6766634866048022,3.6766362468014164,TWh,Hydroelectricity
AC,generators,SK,solar,0.6974334775879716,0.697277167033764,0.6927686004984324,TWh,Solar
AC,lines,,AC0,90.47354085332564,118.36027040889782,171.90662535400855,TWh,
AC,lines,,AC1,-90.47354085332564,-118.36027040889782,-171.90662535400855,TWh,
AC,links,,DC0,-64.82608880412673,-60.657780773126724,-82.25294601317404,TWh,
AC,links,,DC1,64.82608880412673,60.657780773126724,82.25294601317404,TWh,
AC,links,AL,CCGT1,3.0636884624206796e-06,1.289406138767572e-06,2.5695453177385444e-07,TWh,Gas
AC,links,AL,DAC2,-3.8575250477075456e-07,-1.450167622961777e-07,-1.3045124401860002e-07,TWh,DAC
