cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
generators,capital,DE1 8,solar,137074892.5172155,137074921.5101842,132847184.81487916
generators,capital,DE1 8,solar rooftop,240474759.15468445,430448678.0385792,596681060.3738171
generators,capital,DE1 9,onwind,349232033.8597149,22521690.59739978,76.83515842807462
generators,capital,DE1 9,ror,113239075.74585105,113239075.74585105,113239075.74585105
generators,capital,DE1 9,solar,137074879.81928492,137074990.40039566,132847488.21795294
generators,capital,DE1 9,solar rooftop,174117756.31886157,311669951.72920054,432031890.84747016
generators,capital,DK0 0,gas,0.0,0.0,0.0
generators,capital,DK0 0,residential rural solar thermal,65.74252095311023,28.01158767025311,11.095124115653059
generators,capital,DK0 0,residential urban decentral solar thermal,57.996455944421264,30.91416140372476,11.865812576452072
generators,capital,DK0 0,services rural solar thermal,79.368065347012,27.826729173399354,11.529972680330872
generators,capital,DK0 0,services urban decentral solar thermal,56.73199753287651,30.665048551326088,11.691874716594228
generators,capital,DK0 0,urban central solar thermal,81.94635137524854,52.00063550036022,12.725481880107305
generators,capital,DK1 0,offwind,362163285.52426904,94704090.22853963,
generators,capital,DK1 0,offwind-ac,343.7579433464938,526.9131523197951,326.59382273486324
generators,capital,DK1 0,offwind-dc,368.8126334719869,638.0537950676355,383.1744197093719
generators,capital,DK1 0,onwind,8659823249.951143,8279290386.791877,7904809343.427881
generators,capital,DK1 0,residential rural solar thermal,65.75004348204324,29.957031777633294,11.409349082966106
generators,capital,DK1 0,residential urban decentral solar thermal,57.5991101775853,31.7051116953614,12.418728820766708
generators,capital,DK1 0,services rural solar thermal,85.93073909664774,28.57426208301105,12.036927365076508
generators,capital,DK1 0,services urban decentral solar thermal,76.92432189732033,31.247443458475054,11.939560368692144
generators,capital,DK1 0,solar,87450217.24829528,87450454.0164289,87450334.74880147
generators,capital,DK1 0,solar rooftop,124726395.39413624,223259655.2879084,309478952.64322466
generators,capital,DK1 0,urban central solar thermal,80.54222131562744,56.134026603400216,14.049512524489478
generators,capital,DK2 0,offwind,316613652.89137137,82793063.65250726,
generators,capital,DK2 0,offwind-ac,259.7217340746502,263.5654084311951,199.5749244527828
generators,capital,DK2 0,offwind-dc,269.71018331785234,288.6453831780299,217.07334948886685
generators,capital,DK2 0,onwind,1626535829.2004356,1235441100.5574238,1484724693.9590135
generators,capital,DK2 0,solar,91900013.50209774,91906996.86739142,160442930.553655
generators,capital,DK2 0,solar rooftop,66574533.52818742,119168095.92763768,165188900.6001909
generators,capital,EE2 0,gas,0.0,0.0,0.0
generators,capital,EE2 0,residential rural solar thermal,69.07401633908522,27.19880137142992,9.67381831509198
generators,capital,EE2 0,residential urban decentral solar thermal,48.2243837296242,31.349415597291205,10.877018194498238
generators,capital,EE2 0,services rural solar thermal,69.89041342674052,30.529782922766348,10.949828179365579
generators,capital,EE2 0,services urban decentral solar thermal,70.4671404533874,32.53963891283265,11.035073672404343
generators,capital,EE2 0,urban central solar thermal,68.01839590171085,66.89524720259989,11.208377136021914
generators,capital,EE6 0,offwind-ac,293.676956507466,173.47997407564884,139.8645304287914
generators,capital,EE6 0,offwind-dc,393.5205073030232,244.21449033266745,194.97271533468
generators,capital,EE6 0,onwind,567221511.2031502,1153813588.359812,2902998611.797619
generators,capital,EE6 0,solar,30417341.237542525,30416814.217194155,51366609.02980049
generators,capital,EE6 0,solar rooftop,56132748.630878806,100477349.01224849,139280086.47521558
generators,capital,ES0 0,gas,0.0,0.0,0.0
generators,capital,ES0 0,residential rural solar thermal,147.71830785627677,48651902.27228923,56213373.605047666
generators,capital,ES0 0,residential urban decentral solar thermal,277.18353560426607,132296555.25552426,132296650.79594873
generators,capital,ES0 0,services rural solar thermal,224.14907752736437,30875465.450323623,47570216.33281024
generators,capital,ES0 0,services urban decentral solar thermal,257.977674668126,27472989.483279217,27473781.064980056
generators,capital,ES0 0,urban central solar thermal,162031692.1237093,165054703.9784352,165055702.87355074
generators,capital,ES1 0,offwind-ac,146.82480643523925,91.11773690675582,84.07459848931944
generators,capital,ES1 0,offwind-dc,62.44802041018331,41.344088636162155,53.06942119727887
generators,capital,ES1 0,onwind,344867960.9142841,29256473.534054436,822.6611993588923
generators,capital,ES1 0,solar,270844247.198345,1311555103.1302147,1311517282.9986558
generators,capital,ES1 0,solar rooftop,197724900.78814992,353926623.2814138,490607412.52737606
generators,capital,ES1 1,onwind,344867825.85734105,29256300.431379963,102.61858011204465
generators,capital,ES1 1,solar,74863209.02484345,1277244067.9947376,1277206345.626897
generators,capital,ES1 1,solar rooftop,61226609.40155482,109595336.8935472,151919299.2495908
generators,capital,ES1 10,offwind-ac,80.92030429323009,39.83243557120696,44.74739604906694
generators,capital,ES1 10,onwind,344867941.77811074,29256416.135558005,278.8471626278728
generators,capital,ES1 10,solar,74861725.26246381,74861696.20446563,860792697.960398
generators,capital,ES1 10,solar rooftop,70997873.59148131,127085854.01370879,176164374.11467588
generators,capital,ES1 11,offwind-ac,70.051153952173,36.5697555764266,42.39177188259949
generators,capital,ES1 11,onwind,344868026.6660824,29256623.31834554,3046523679.6814876
generators,capital,ES1 11,ror,10963497.187638035,10963497.187638035,10963497.187638035
