cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,generators,PT0 0,solar,16695270.345384179,25229607.034022067,64319225.50293251
AC,generators,RO0 0,offwind-ac,1.4873877332942134,1.179922370382044,1.3413778162115197
AC,generators,RO0 0,offwind-dc,1.562882894283398,1.309417673746272,1.6318797773824867
AC,generators,RO0 0,onwind,3363267.646977457,2.093681050481204,2.1107321892817943
AC,generators,RO0 0,ror,1980649.4102254566,1980573.0745946495,1980414.32811703
AC,generators,RO0 0,solar,1699477.6442780525,1685628.2674394185,18396482.39809178
AC,generators,RS0 0,onwind,352426.25634863955,0.9803864725163717,1.0381061923455777
AC,generators,RS0 0,ror,6742456.888388116,6742382.843244883,6742285.852623836
AC,generators,RS0 0,solar,20.768352574652884,19.135898471870835,7625993.995227511
AC,generators,SE1 0,offwind,599181.3252609905,,
AC,generators,SE1 0,offwind-ac,11.731795284717922,8.874943287510117,7.474582552079899
AC,generators,SE1 0,offwind-dc,19.380082114923823,19.877861414834417,18.875448716211725
AC,generators,SE1 0,onwind,25793209.85802199,25597133.608251184,27345781.687566698
AC,generators,SE1 0,ror,7907509.583568653,7907463.649806032,7907412.628507213
AC,generators,SE1 0,solar,2352402.1689853314,24658464.779747512,24658115.413567334
AC,generators,SI0 0,offwind-ac,0.11823762715492162,0.06414376159933396,0.07832349667586744
AC,generators,SI0 0,onwind,0.2260308425287568,0.15488577478972101,0.14028656505675738
AC,generators,SI0 0,ror,3885905.6036568815,3871027.6102845385,3863124.5097597754
AC,generators,SI0 0,solar,693529.7774611736,683646.1162840442,638931.5654466342
AC,generators,SK0 0,onwind,1.1415083115794311,0.9954177908563546,1.043320277755253
AC,generators,SK0 0,ror,3676693.9004877377,3676663.4866048023,3676636.2468014164
AC,generators,SK0 0,solar,697433.4775879716,697277.167033764,692768.6004984324
AC,lines,AL0 0,AC0,-4083287.4243838205,-9581272.524394771,-12381968.983582174
AC,lines,AL0 0,AC1,4083287.4243838205,9581272.524394771,12381968.983582174
AC,lines,AT0 0,AC0,31507963.3428313,17059281.354610227,24604405.678459242
