cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
services rural heat,links,services rural oil boiler1,33878.10850723134,25243.244768228913,24416.449570638426
services rural heat,links,services rural resistive heater1,27262.93901175939,18113.1626868535,18840.806163635396
services rural heat,links,services rural water tanks charger0,-11505.11843404508,-17447.08785026578,-22143.269782852214
services rural heat,links,services rural water tanks discharger1,9107.785603882881,13555.814065257322,15313.095399656395
services rural heat,loads,agriculture heat,-21627.57727207328,-21627.57727207328,-21627.57727207328
services rural heat,loads,services rural heat,-92481.08726424394,-82725.52055559639,-72969.95384694882
services rural water tanks,links,services rural water tanks charger1,9626.332593765519,14597.978404317379,18527.27382731245
services rural water tanks,links,services rural water tanks discharger0,-10885.365846639035,-16201.522726493751,-18301.775307345997
services rural water tanks,stores,services rural water tanks,10880.6239632262,16205.105771795466,18428.92285190476
services urban decentral heat,generators,services urban decentral solar thermal,0.07640085488317112,575.7248620634714,572.0534646209313
services urban decentral heat,links,DAC3,-0.00029754461731663705,-0.0003372385237309801,-0.00018557957868632182
services urban decentral heat,links,services urban decentral air heat pump1,19661.19160527965,11163.202502277521,13415.050596348688
services urban decentral heat,links,services urban decentral biomass boiler1,6615.044181051787,7330.3435687495485,7378.77633580242
services urban decentral heat,links,services urban decentral gas boiler1,65995.0682936176,49736.637628905795,49728.224306895725
services urban decentral heat,links,services urban decentral micro gas CHP2,0.001176169104524193,0.00040830495713685785,0.00015870657146820104
services urban decentral heat,links,services urban decentral oil boiler1,76146.19093435122,54710.65065228422,34983.42003147856
services urban decentral heat,links,services urban decentral resistive heater1,41411.885432990115,30520.88262762812,30883.18693533743
services urban decentral heat,links,services urban decentral water tanks charger0,-49483.122165062894,-35860.61539684012,-35987.16505222762
services urban decentral heat,links,services urban decentral water tanks discharger1,31096.747460144845,25392.063017099736,17913.27773233988
services urban decentral heat,loads,services urban decentral heat,-223488.02435684975,-160550.22080966644,-95280.14601535255
services urban decentral water tanks,links,services urban decentral water tanks charger1,41402.52831550812,30004.576902536126,30110.46099919885
services urban decentral water tanks,links,services urban decentral water tanks discharger0,-37165.946528199886,-30347.870224811446,-21409.439144663414
services urban decentral water tanks,stores,services urban decentral water tanks,37156.08698584921,30362.914187513114,21771.44545225197
solid biomass,links,BioSNG0,-0.019734008787876775,-0.01115212117569263,-71.31171613649369
solid biomass,links,biomass to liquid0,-0.010779511797005719,-0.006941622200049282,-0.007041593691338041
solid biomass,links,residential rural biomass boiler0,-6072.8360075622395,-8443.449448991427,-9293.480192202713
solid biomass,links,residential urban decentral biomass boiler0,-16314.131378684711,-19610.174830682612,-19809.609814476666
