cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
low voltage,links,services rural micro gas CHP1,6.990334095772889,2.7312625917985454,1.138672878909426
low voltage,links,services rural resistive heater0,-5676551.875710461,-18862785.131871462,-26133377.85397404
low voltage,links,services urban decentral air heat pump0,-2119152.022167258,-22324059.32873954,-24236701.35303304
low voltage,links,services urban decentral micro gas CHP1,7.008373456762326,2.7384480096009574,1.144525653274181
low voltage,links,services urban decentral resistive heater0,-15946470.109843772,-37801460.87459621,-49708837.74005565
low voltage,links,urban central air heat pump0,-28666785.44333716,-101980251.17363447,-339904918.33877754
low voltage,links,urban central resistive heater0,-71295.55307666786,-69008819.7383815,-107927121.08268075
low voltage,loads,agriculture electricity,-44861105.05639167,-44861105.05639167,-44861105.05639167
low voltage,loads,electricity,-1843473885.2076066,-1843473885.2076066,-1843473885.2076066
low voltage,loads,industry electricity,-1691240000.0,-1697710000.0,-1700859999.9999998
methanol,links,methanolisation1,163909388.09044954,382455238.88472223,546364626.9886781
methanol,loads,shipping methanol,-163909388.09683466,-382455238.89261425,-546364626.9894488
methanol,stores,methanol,0.0,0.0,0.0
oil,generators,oil,4598054865.278972,2921464688.884427,1438577500.746786
oil,links,Fischer-Tropsch1,171.62935431304902,83.42138838123341,37757889.02092849
oil,links,biomass to liquid1,33.44392433928792,24.3442775853215,27.003803505412137
oil,links,oil0,-17289.13036720705,-21.043214485751548,-5.227533380342889
oil,links,residential rural oil boiler0,-85277806.817519,-95261165.73859826,-25471661.64140422
oil,links,residential urban decentral oil boiler0,-334063312.59360516,-189669323.436679,-12118862.522943653
oil,links,services rural oil boiler0,-37794923.341499515,-32963754.62397477,-7693892.8339156
oil,links,services urban decentral oil boiler0,-129899890.5458097,-69292955.98990653,-3759343.017316523
oil,links,urban central oil boiler0,-831888.7425773438,-38078.15232440044,
oil,loads,agriculture machinery oil,-86625920.92053285,-86625920.92053285,-86625920.92053285
oil,loads,kerosene for aviation,-612245730.6093862,-612245730.6093862,-612245730.6093862
oil,loads,land transport oil,-2143054782.928367,-918452049.8264428,
oil,loads,naphtha for industry,-728419999.9999999,-728419999.9999999,-728419999.9999999
oil,loads,shipping oil,-439823524.7265065,-188495796.31135988,
oil,stores,oil,0.0,0.0,0.0
process emissions,links,process emissions CC0,-246.1656539980022,-44315676.455269404,-152799950.0746394
process emissions,links,process emissions0,-169709753.8343914,-117254323.544708,-49.92546348664591
process emissions,loads,process emissions,169710000.0,161570000.0,152800000.0
residential rural heat,generators,residential rural solar thermal,83.54790000612923,1395107.217820039,1609210.1020391143
residential rural heat,links,residential rural biomass boiler1,31532710.94625266,33196056.693077136,28957361.112272352
residential rural heat,links,residential rural gas boiler1,403353844.21716964,267113892.84421483,170290041.35390562
residential rural heat,links,residential rural ground heat pump1,58270932.01789123,128546722.53786665,225651764.17815572
residential rural heat,links,residential rural micro gas CHP2,12.039700281980336,4.7475596006783105,1.978683422521982
residential rural heat,links,residential rural oil boiler1,76750026.1357671,85735049.16473843,22924495.477263797
residential rural heat,links,residential rural resistive heater1,24300248.260322,29671213.88045962,46150067.44480582
residential rural heat,links,residential rural water tanks charger0,-5989141.25775612,-13972968.612310331,-16832064.186067883
residential rural heat,links,residential rural water tanks discharger1,3753564.6528373873,8825058.323718231,10297115.57553414
residential rural heat,loads,residential rural heat,-591972280.5574089,-540510136.795846,-489047993.03428304
residential rural water tanks,links,residential rural water tanks charger1,5011114.490364545,11691182.837920053,14083388.104483
residential rural water tanks,links,residential rural water tanks discharger0,-4486153.523171253,-10547458.25710318,-12306819.141310075
residential rural water tanks,stores,residential rural water tanks,-524960.9671932923,-1143724.5808811125,-1776568.9632739616
residential urban decentral heat,generators,residential urban decentral solar thermal,80.34271742992094,3910173.870287968,3903350.7911397335
residential urban decentral heat,links,residential urban decentral air heat pump1,240541886.05944034,190659489.49379236,196878423.39709216
residential urban decentral heat,links,residential urban decentral biomass boiler1,84336365.13410163,87562936.720163,68001574.2258449
residential urban decentral heat,links,residential urban decentral gas boiler1,702767224.030787,504709918.78821653,263323005.55002925
residential urban decentral heat,links,residential urban decentral micro gas CHP2,12.150922702330043,4.774531495716267,1.9873779783365322
residential urban decentral heat,links,residential urban decentral oil boiler1,300656981.33424467,170702391.0930111,10906976.270649288
residential urban decentral heat,links,residential urban decentral resistive heater1,60584361.33172692,67310207.63557217,88299779.84495601
residential urban decentral heat,links,residential urban decentral water tanks charger0,-24985660.748752587,-30854148.783856574,-30252999.021480363
residential urban decentral heat,links,residential urban decentral water tanks discharger1,15210491.493116427,19022056.855752964,17722985.164694313
residential urban decentral heat,loads,residential urban decentral heat,-1379111741.1254559,-1013023030.4460248,-618783098.2079748
residential urban decentral water tanks,links,residential urban decentral water tanks charger1,20905502.348481286,25815666.287452795,25312684.28127262
residential urban decentral water tanks,links,residential urban decentral water tanks discharger0,-18179146.04173112,-22734620.360646542,-21182006.889798388
residential urban decentral water tanks,stores,residential urban decentral water tanks,-2726356.3067501667,-3081045.926874858,-4130677.391566527
services rural heat,generators,services rural solar thermal,88.80942512628131,875565.267457403,1348860.4191984034
services rural heat,links,services rural biomass boiler1,36367048.862326644,25027134.61408397,18953129.980378732
services rural heat,links,services rural gas boiler1,261203091.7226791,119214775.76793148,71319907.9834626
services rural heat,links,services rural ground heat pump1,63712936.75313462,205198387.43576267,255635973.0940779
services rural heat,links,services rural micro gas CHP2,12.128528388392278,4.738857317394057,1.9756461061419957
services rural heat,links,services rural oil boiler1,34015431.007349566,29667379.16157729,6924503.55052404
services rural heat,links,services rural resistive heater1,21103207.183416024,16976506.618684314,23520040.068576638
services rural heat,links,services rural water tanks charger0,-3771287.14143548,-6420605.00380187,-9433032.115764795
services rural heat,links,services rural water tanks discharger1,2434808.536601163,4014820.834597467,5773216.054307374
services rural heat,loads,agriculture heat,-189457576.90336192,-189457576.90336192,-189457576.90336192
services rural heat,loads,services rural heat,-225607760.9561478,-205096392.53046513,-184585024.1047824
services rural water tanks,links,services rural water tanks charger1,3155435.951239066,5372120.206681025,7892617.971260404
services rural water tanks,links,services rural water tanks discharger0,-2910013.7882169983,-4798399.467667583,-6899983.332505527
services rural water tanks,stores,services rural water tanks,-245422.16302206749,-573720.7390713244,-992634.6388503968
services urban decentral heat,generators,services urban decentral solar thermal,78.24340377730947,784035.9118547989,779035.6542536791
services urban decentral heat,links,DAC3,-18.655741946158113,-6.160585244192993,-4.754906678406611
services urban decentral heat,links,services urban decentral air heat pump1,83547683.39040558,59727007.05128653,63119860.185717255
services urban decentral heat,links,services urban decentral biomass boiler1,37963922.91059043,37959629.45830581,29176382.747845042
services urban decentral heat,links,services urban decentral gas boiler1,294775949.74232525,218259568.30799517,112206936.9814573
services urban decentral heat,links,services urban decentral micro gas CHP2,12.159827450621815,4.751324324350379,1.9858009197834081
services urban decentral heat,links,services urban decentral oil boiler1,116909901.49122873,62363660.390915886,3383408.7155848704
services urban decentral heat,links,services urban decentral resistive heater1,30097016.564628445,34021314.78713659,44737953.96605009
services urban decentral heat,links,services urban decentral water tanks charger0,-12170459.397112614,-13673163.65302061,-15737597.460989777
services urban decentral heat,links,services urban decentral water tanks discharger1,7402709.884821731,8247463.306838282,8965060.580483584
services urban decentral heat,loads,services urban decentral heat,-558526796.3319428,-407689514.1507519,-246631038.59930488
services urban decentral water tanks,links,services urban decentral water tanks charger1,10183023.377564125,11440336.028482342,13167647.795610145
services urban decentral water tanks,links,services urban decentral water tanks discharger0,-8847507.929749887,-9857133.150278812,-10714784.965320406
services urban decentral water tanks,stores,services urban decentral water tanks,-1335515.4478142364,-1583202.8782707995,-2452862.8303777077
